time_iso8601,stars_cumulative
2024-01-16 00:00:00+00:00,440
2024-01-19 00:00:00+00:00,442
2024-01-20 00:00:00+00:00,443
2024-01-22 00:00:00+00:00,444
2024-01-23 00:00:00+00:00,446
2024-01-24 00:00:00+00:00,449
2024-01-25 00:00:00+00:00,452
2024-01-26 00:00:00+00:00,455
2024-01-27 00:00:00+00:00,456
2024-01-30 00:00:00+00:00,457
2024-01-31 00:00:00+00:00,459
2024-02-01 00:00:00+00:00,461
2024-02-02 00:00:00+00:00,464
2024-02-07 00:00:00+00:00,465
2024-02-09 00:00:00+00:00,466
2024-02-10 00:00:00+00:00,467
2024-02-11 00:00:00+00:00,468
2024-02-15 00:00:00+00:00,470
2024-02-18 00:00:00+00:00,471
2024-02-23 00:00:00+00:00,472
2024-02-25 00:00:00+00:00,473
2024-03-04 00:00:00+00:00,474
2024-03-05 00:00:00+00:00,477
2024-03-06 00:00:00+00:00,479
2024-03-09 00:00:00+00:00,483
2024-03-11 00:00:00+00:00,486
2024-03-13 00:00:00+00:00,487
2024-03-17 00:00:00+00:00,488
2024-03-18 00:00:00+00:00,490
2024-03-19 00:00:00+00:00,493
2024-03-20 00:00:00+00:00,497
2024-03-21 00:00:00+00:00,499
2024-03-22 00:00:00+00:00,501
2024-03-24 00:00:00+00:00,503
2024-03-25 00:00:00+00:00,506
2024-03-27 00:00:00+00:00,509
2024-03-28 00:00:00+00:00,510
2024-03-29 00:00:00+00:00,512
2024-04-01 00:00:00+00:00,513
2024-04-02 00:00:00+00:00,517
2024-04-04 00:00:00+00:00,522
2024-04-05 00:00:00+00:00,523
2024-04-08 00:00:00+00:00,524
2024-04-10 00:00:00+00:00,525
2024-04-16 00:00:00+00:00,527
2024-04-21 00:00:00+00:00,528
2024-04-23 00:00:00+00:00,529
2024-04-27 00:00:00+00:00,531
2024-04-29 00:00:00+00:00,532
2024-04-30 00:00:00+00:00,533
2024-05-03 00:00:00+00:00,534
2024-05-05 00:00:00+00:00,535
2024-05-06 00:00:00+00:00,536
2024-05-09 00:00:00+00:00,540
2024-05-11 00:00:00+00:00,541
2024-05-12 00:00:00+00:00,542
2024-05-13 00:00:00+00:00,543
2024-05-15 00:00:00+00:00,544
2024-05-16 00:00:00+00:00,545
2024-05-19 00:00:00+00:00,546
2024-05-20 00:00:00+00:00,547
2024-05-21 00:00:00+00:00,549
2024-05-22 00:00:00+00:00,554
2024-05-25 00:00:00+00:00,555
2024-05-26 00:00:00+00:00,556
2024-05-27 00:00:00+00:00,557
2024-05-28 00:00:00+00:00,559
2024-06-01 00:00:00+00:00,561
2024-06-02 00:00:00+00:00,562
2024-06-03 00:00:00+00:00,563
2024-06-04 00:00:00+00:00,565
2024-06-07 00:00:00+00:00,567
2024-06-08 00:00:00+00:00,568
2024-06-09 00:00:00+00:00,570
2024-06-10 00:00:00+00:00,571
2024-06-11 00:00:00+00:00,572
2024-06-14 00:00:00+00:00,573
2024-06-18 00:00:00+00:00,574
2024-06-20 00:00:00+00:00,575
2024-06-25 00:00:00+00:00,576
2024-06-26 00:00:00+00:00,577
2024-06-29 00:00:00+00:00,578
2024-07-01 00:00:00+00:00,580
2024-07-02 00:00:00+00:00,582
2024-07-03 00:00:00+00:00,584
2024-07-04 00:00:00+00:00,588
2024-07-06 00:00:00+00:00,589
2024-07-07 00:00:00+00:00,590
2024-07-08 00:00:00+00:00,591
2024-07-09 00:00:00+00:00,592
2024-07-10 00:00:00+00:00,593
2024-07-11 00:00:00+00:00,601
2024-07-13 00:00:00+00:00,602
2024-07-15 00:00:00+00:00,605
2024-07-18 00:00:00+00:00,606
2024-07-19 00:00:00+00:00,608
2024-07-20 00:00:00+00:00,609
2024-07-21 00:00:00+00:00,610
2024-07-22 00:00:00+00:00,611
2024-07-24 00:00:00+00:00,612
2024-07-25 00:00:00+00:00,613
2024-07-26 00:00:00+00:00,615
2024-07-30 00:00:00+00:00,616
2024-07-31 00:00:00+00:00,617
2024-08-01 00:00:00+00:00,618
2024-08-02 00:00:00+00:00,619
2024-08-05 00:00:00+00:00,620
2024-08-07 00:00:00+00:00,622
2024-08-10 00:00:00+00:00,624
2024-08-13 00:00:00+00:00,626
2024-08-14 00:00:00+00:00,627
2024-08-15 00:00:00+00:00,628
2024-08-22 00:00:00+00:00,629
